Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
10–12 May,Savanta,The Telegraph,GB,2090,25%,43%,12%,3%,4%,10%,4%,18,10–12 May 2024,2024-05-12
9–10 May,Survation,,UK,1054,24%,44%,10%,2%,7%,8%,5%,20,9–10 May 2024,2024-05-10
9–10 May,We Think,,GB,1183,24%,47%,9%,2%,6%,10%,3%,23,9–10 May 2024,2024-05-10
8–9 May,Techne,,GB,1638,21%,45%,11%,2%,6%,12%,3%,24,8–9 May 2024,2024-05-09
7–8 May,YouGov,The Times,GB,2072,18%,48%,9%,3%,7%,13%,3% Plaid Cymru on 1% Other on 2%,30,7–8 May 2024,2024-05-08
6–8 May,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,John Swinney is elected Leader of the Scottish National Party and First Minister of Scotland,6–8 May 2024,2024-05-08
3–7 May,Deltapoll,,GB,1993,26%,43%,10%,3%,5%,10%,2% Plaid Cymru on 1% UKIP on 1% Other on 0%,17,3–7 May 2024,2024-05-07
5 May,Redfield & Wilton,,GB,2000,21%,44%,9%,3%,5%,15%,1%,23,5 May 2024,2024-05-05
3–5 May,Savanta,The Telegraph,GB,2267,27%,43%,11%,3%,4%,9%,4%,16,3–5 May 2024,2024-05-05
2–5 May,JL Partners,The Rest is Politics,GB,2011,26%,41%,11%,3%,5%,13%,2%,15,2–5 May 2024,2024-05-05
2–3 May,More in Common,,GB,2135,26%,43%,10%,3%,5%,11%,1%,17,2–3 May 2024,2024-05-03
2–3 May,We Think,,GB,1177,24%,44%,8%,2%,6%,13%,2%,20,2–3 May 2024,2024-05-03
1–3 May,Opinium,The Observer,GB,1402,24%,40%,11%,3%,7%,12%,3% Plaid Cymru on 1% Other on 2%,16,1–3 May 2024,2024-05-03
2 May,"Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election","Local elections in England, PCC elections and the Blackpool South by-election",2 May 2024,2024-05-02
1–2 May,Techne,,GB,1633,22%,44%,10%,2%,6%,13%,3%,22,1–2 May 2024,2024-05-02
30 Apr – 1 May,YouGov,The Times,GB,2010,18%,44%,10%,2%,8%,15%,3% Plaid Cymru on 1% Other on 2%,26,30 Apr – 1 May 2024,2024-05-01
26–29 Apr,Deltapoll,,GB,1577,24%,44%,8%,3%,5%,12%,3% Plaid Cymru on 2% UKIP on 1% Other on 0%,20,26–29 Apr 2024,2024-04-29
19–29 Apr,Labour Together,,GB,9403,22%,44%,10%,3%,6%,13%,3% Plaid Cymru on 1% Other on 2%,22,19–29 Apr 2024,2024-04-29
28 Apr,Redfield & Wilton,,GB,2000,22%,45%,9%,3%,6%,14%,2%,23,28 Apr 2024,2024-04-28
26–28 Apr,More in Common,,GB,2053,24%,43%,11%,3%,6%,11%,2%,19,26–28 Apr 2024,2024-04-28
26–28 Apr,Savanta,The Telegraph,GB,2144,26%,44%,10%,3%,3%,10%,4%,18,26–28 Apr 2024,2024-04-28
25–26 Apr,We Think,,GB,1265,22%,44%,9%,3%,6%,13%,3%,22,25–26 Apr 2024,2024-04-26
24–25 Apr,Techne,,GB,1642,23%,44%,9%,3%,6%,11%,3%,21,24–25 Apr 2024,2024-04-25
23–25 Apr,Survation,,UK,2036,26%,44%,9%,3%,4%,10%,5%,18,23–25 Apr 2024,2024-04-25
23–24 Apr,YouGov,The Times,GB,2100,20%,45%,9%,3%,7%,13%,3% Plaid Cymru on 1% Other on 2%,25,23–24 Apr 2024,2024-04-24
22–23 Apr,BMG,The i,GB,1500,25%,41%,9%,3%,6%,14%,1%,16,22–23 Apr 2024,2024-04-23
19–22 Apr,Deltapoll,,GB,1525,27%,43%,9%,3%,5%,12%,3% Plaid Cymru on 1% UKIP on 0% Other on 0%,16,19–22 Apr 2024,2024-04-22
21 Apr,Redfield & Wilton,,GB,2000,20%,43%,12%,3%,6%,14%,1%,23,21 Apr 2024,2024-04-21
19–21 Apr,Savanta,The Telegraph,GB,2332,27%,43%,9%,2%,4%,10%,4%,16,19–21 Apr 2024,2024-04-21
18–19 Apr,We Think,,GB,1266,26%,43%,9%,2%,7%,11%,2%,17,18–19 Apr 2024,2024-04-19
17–19 Apr,Opinium,The Observer,GB,1431,25%,41%,10%,2%,7%,13%,3% Plaid Cymru on 2% Other on 1%,16,17–19 Apr 2024,2024-04-19
17–18 Apr,Survation,,UK,1010,26%,44%,11%,3%,4%,8%,4%,18,17–18 Apr 2024,2024-04-18
17–18 Apr,Techne,,GB,1640,22%,45%,9%,3%,5%,13%,3%,23,17–18 Apr 2024,2024-04-18
16–17 Apr,YouGov,The Times,GB,2048,21%,44%,8%,3%,8%,14%,3% Plaid Cymru on 1% Other on 2%,23,16–17 Apr 2024,2024-04-17
12–15 Apr,Deltapoll,,GB,2072,25%,45%,9%,3%,5%,11%,4%,20,12–15 Apr 2024,2024-04-15
11–15 Apr,Lord Ashcroft,,GB,5410,23%,44%,6%,TBC,8%,11%,TBC,21,11–15 Apr 2024,2024-04-15
3–15 Apr,Ipsos,,GB,1072,19%,44%,9%,3%,9%,13%,6%,25,3–15 Apr 2024,2024-04-15
14 Apr,Redfield & Wilton,,GB,2000,22%,44%,9%,3%,6%,15%,1%,22,14 Apr 2024,2024-04-14
12–14 Apr,Savanta,The Telegraph,GB,2221,25%,43%,10%,3%,4%,9%,4%,18,12–14 Apr 2024,2024-04-14
11–12 Apr,We Think,,GB,1271,24%,44%,9%,2%,6%,11%,1%,20,11–12 Apr 2024,2024-04-12
10–11 Apr,Techne,,GB,1630,23%,44%,10%,3%,5%,12%,3%,21,10–11 Apr 2024,2024-04-11
10–11 Apr,YouGov,The Times,GB,2044,19%,45%,8%,3%,7%,15%,2% Plaid Cymru on 0% Other on 2%,26,10–11 Apr 2024,2024-04-11
7 Apr,Redfield & Wilton,,GB,2000,21%,44%,10%,2%,6%,15%,1%,23,7 Apr 2024,2024-04-07
5–7 Apr,Savanta,The Telegraph,GB,2210,27%,42%,10%,3%,4%,10%,4%,15,5–7 Apr 2024,2024-04-07
4–7 Apr,JL Partners,The Rest is Politics,GB,2011,24%,42%,10%,4%,5%,13%,2%,18,4–7 Apr 2024,2024-04-07
4–5 Apr,We Think,,GB,1280,24%,45%,10%,2%,5%,13%,2%,21,4–5 Apr 2024,2024-04-05
3–5 Apr,Opinium,The Observer,GB,1318,25%,41%,10%,3%,8%,11%,2% Plaid Cymru on 1% Other on 1%,16,3–5 Apr 2024,2024-04-05
4 Apr,PeoplePolling,GB News,GB,1809,19%,45%,9%,4%,8%,14%,1%,26,4 Apr 2024,2024-04-04
3–4 Apr,Techne,,GB,1638,22%,45%,9%,3%,5%,13%,3%,23,3–4 Apr 2024,2024-04-04
2–3 Apr,BMG,The i,GB,1530,25%,43%,8%,3%,6%,14%,1%,18,2–3 Apr 2024,2024-04-03
2–3 Apr,YouGov,The Times,GB,2004,20%,43%,8%,3%,8%,16%,1%,23,2–3 Apr 2024,2024-04-03
31 Mar,Redfield & Wilton,,GB,2000,22%,46%,10%,3%,5%,14%,2%,24,31 Mar 2024,2024-03-31
27–28 Mar,Techne,,GB,1641,23%,44%,10%,3%,5%,12%,3%,21,27–28 Mar 2024,2024-03-28
27–28 Mar,We Think,,GB,1295,25%,44%,10%,3%,5%,10%,3%,19,27–28 Mar 2024,2024-03-28
26–27 Mar,YouGov,The Times,GB,2061,21%,40%,10%,3%,8%,16%,3% Plaid Cymru on 2% Other on 1%,19,26–27 Mar 2024,2024-03-27
25–27 Mar,Savanta,The Sun,UK,3302,24%,45%,10%,3%,3%,12%,4%,21,25–27 Mar 2024,2024-03-27
7–27 Mar,YouGov (MRP)[c],The Times,GB,18761,24%,41%,12%,—,7%,12%,1%,17,7–27 Mar 2024,2024-03-27
23–24 Mar,More in Common,,GB,1966,27%,42%,10%,3%,5%,11%,2% Plaid Cymru on 1% Other on 1%,15,23–24 Mar 2024,2024-03-24
22–25 Mar,Deltapoll,,GB,2072,26%,44%,9%,3%,6%,11%,2%,18,22–25 Mar 2024,2024-03-25
24 Mar,Redfield & Wilton,,GB,2000,22%,42%,12%,2%,6%,14%,2%,20,24 Mar 2024,2024-03-24
22–24 Mar,Savanta,The Telegraph,UK,2216,24%,44%,10%,3%,4%,11%,4%,20,22–24 Mar 2024,2024-03-24
20–22 Mar,Opinium,The Observer,UK,1874,25%,41%,10%,3%,8%,11%,2%,16,20–22 Mar 2024,2024-03-22
21–22 Mar,We Think,,GB,1270,24%,47%,10%,2%,6%,11%,2%,23,21–22 Mar 2024,2024-03-22
8–22 Mar,Survation (MRP),Best for Britain,UK,15029,26%,45%,10%,3%,4%,9%,3%,19,8–22 Mar 2024,2024-03-22
20–21 Mar,Techne,,GB,1632,22%,43%,10%,3%,6%,13%,3%,21,20–21 Mar 2024,2024-03-21
19–20 Mar,More in Common,,GB,2027,25%,43%,11%,3%,5%,11%,2% Plaid Cymru on 1% Other on 1%,18,19–20 Mar 2024,2024-03-20
19–20 Mar,YouGov,The Times,GB,2047,19%,44%,9%,3%,8%,15%,2% Plaid Cymru on 1% Other on 1%,25,19–20 Mar 2024,2024-03-20
15–18 Mar,Deltapoll,,GB,2072,23%,46%,9%,2%,5%,12%,3%,23,15–18 Mar 2024,2024-03-18
17 Mar,Redfield & Wilton,,GB,2000,21%,47%,8%,3%,6%,14%,1%,26,17 Mar 2024,2024-03-17
15–17 Mar,Savanta,The Telegraph,UK,2133,26%,44%,9%,3%,4%,11%,4%,18,15–17 Mar 2024,2024-03-17
14–15 Mar,Labour Together,,GB,1270,24%,42%,10%,3%,7%,—,13%,18,14–15 Mar 2024,2024-03-15
14–15 Mar,We Think,,GB,1270,25%,43%,10%,2%,6%,12%,2%,18,14–15 Mar 2024,2024-03-15
13–14 Mar,Techne,,GB,1624,22%,44%,11%,3%,5%,12%,3%,22,13–14 Mar 2024,2024-03-14
11–14 Mar,Survation,,UK,1043,26%,45%,11%,2%,3%,8%,5%,19,11–14 Mar 2024,2024-03-14
12–13 Mar,YouGov,The Times,GB,2047,20%,44%,9%,3%,7%,14%,3% Plaid Cymru on 1% Other on 2%,24,12–13 Mar 2024,2024-03-13
8–11 Mar,More in Common,,GB,2027,27%,42%,10%,3%,6%,10%,2% Plaid Cymru on 1% Other on 1%,15,8–11 Mar 2024,2024-03-11
8–11 Mar,Deltapoll,,GB,1502,27%,44%,10%,2%,4%,11%,2%,17,8–11 Mar 2024,2024-03-11
7–11 Mar,Lord Ashcroft[d],,GB,5299,23%,45%,6%,3%,8%,11%,5%,22,7–11 Mar 2024,2024-03-11
10 Mar,Redfield & Wilton,,GB,2000,24%,42%,12%,2%,5%,14%,1%,18,10 Mar 2024,2024-03-10
8–10 Mar,Savanta,,GB,2032,25%,43%,11%,3%,4%,9%,4%,18,8–10 Mar 2024,2024-03-10
7–8 Mar,We Think,,GB,1216,24%,43%,9%,3%,6%,13%,2%,19,7–8 Mar 2024,2024-03-08
6–8 Mar,Opinium,The Observer,UK,2054,25%,41%,10%,3%,7%,11%,4%,16,6–8 Mar 2024,2024-03-08
7 Mar,PeoplePolling,GB News,GB,1734,18%,46%,10%,4%,7%,13%,2% Plaid Cymru on 0% Other on 2%,28,7 Mar 2024,2024-03-07
6–7 Mar,BMG,The i,GB,1541,25%,41%,10%,3%,6%,13%,1%,16,6–7 Mar 2024,2024-03-07
6–7 Mar,YouGov,The Times,GB,2053,20%,47%,9%,3%,7%,13%,2% Plaid Cymru on 1% Other on 1%,27,6–7 Mar 2024,2024-03-07
6–7 Mar,Techne Archived 8 March 2024 at the Wayback Machine,,UK,1640,23%,44%,11%,3%,6%,11%,2%,21,6–7 Mar 2024,2024-03-07
1–4 Mar,Deltapoll,,GB,1500,27%,41%,9%,3%,6%,12%,3%,14,1–4 Mar 2024,2024-03-04
3 Mar,Redfield & Wilton,,GB,2000,23%,43%,10%,3%,6%,13%,2%,20,3 Mar 2024,2024-03-03
1–3 Mar,Savanta,,GB,2245,27%,44%,10%,3%,4%,8%,4%,17,1–3 Mar 2024,2024-03-03
29 Feb – 1 Mar,We Think,,GB,1240,23%,47%,9%,3%,5%,10%,3%,24,29 Feb – 1 Mar 2024,2024-03-01
28 Feb – 1 Mar,Opinium,,UK,2050,25%,40%,10%,3%,7%,12%,3%,15,28 Feb – 1 Mar 2024,2024-03-01
29 Feb,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,Rochdale by-election,29 Feb 2024,2024-02-29
28–29 Feb,YouGov,The Times,GB,2100,20%,46%,7%,3%,7%,14%,2% Plaid Cymru on 1% Other on 1%,26,28–29 Feb 2024,2024-02-29
28–29 Feb,Techne Archived 1 March 2024 at the Wayback Machine,,UK,1632,23%,44%,10%,3%,7%,10%,3%,21,28–29 Feb 2024,2024-02-29
21–28 Feb,Ipsos,Evening Standard,GB,1004,20%,47%,9%,4%,8%,8%,2%,27,21–28 Feb 2024,2024-02-28
23–27 Feb,More in Common,,GB,2075,28%,43%,10%,3%,5%,9%,1%,15,23–27 Feb 2024,2024-02-27
23–26 Feb,Deltapoll,,GB,1490,23%,44%,11%,3%,5%,10%,3%,21,23–26 Feb 2024,2024-02-26
25 Feb,Redfield & Wilton,,GB,2000,23%,43%,10%,3%,8%,12%,2%,20,25 Feb 2024,2024-02-25
23–25 Feb,Savanta,,GB,2097,26%,44%,10%,3%,4%,10%,4%,18,23–25 Feb 2024,2024-02-25
21–23 Feb,Opinium,The Observer,UK,2079,27%,42%,10%,3%,7%,10%,1%,15,21–23 Feb 2024,2024-02-23
22–23 Feb,We Think,,GB,1243,25%,44%,9%,3%,6%,10%,2%,19,22–23 Feb 2024,2024-02-23
21–22 Feb,Techne Archived 23 February 2024 at the Wayback Machine,,UK,1637,24%,44%,10%,3%,6%,10%,3%,20,21–22 Feb 2024,2024-02-22
20–21 Feb,YouGov,The Times,GB,2035,20%,46%,9%,4%,7%,13%,2% Plaid Cymru on 1% Other on 1%,26,20–21 Feb 2024,2024-02-21
16–19 Feb,Deltapoll,,GB,1519,27%,48%,8%,3%,6%,7%,2%,21,16–19 Feb 2024,2024-02-19
18 Feb,Redfield & Wilton,,GB,2000,23%,46%,9%,3%,6%,11%,1%,23,18 Feb 2024,2024-02-18
16–18 Feb,Savanta,,UK,2118,28%,42%,10%,3%,4%,8%,5%,14,16–18 Feb 2024,2024-02-18
15–16 Feb,We Think,,GB,1246,26%,46%,9%,2%,6%,8%,2%,20,15–16 Feb 2024,2024-02-16
14–16 Feb,Opinium,The Observer,UK,2002,27%,43%,10%,3%,7%,9%,2%,16,14–16 Feb 2024,2024-02-16
15 Feb,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,Kingswood by-election and Wellingborough by-election,15 Feb 2024,2024-02-15
14–15 Feb,Techne Archived 16 February 2024 at the Wayback Machine,,UK,1628,23%,42%,11%,3%,7%,11%,3%,19,14–15 Feb 2024,2024-02-15
14–15 Feb,YouGov,The Times,GB,2030,24%,44%,9%,3%,8%,11%,1% Plaid Cymru on 0% Other on 1%,20,14–15 Feb 2024,2024-02-15
13–15 Feb,Survation,,UK,1020,29%,44%,9%,3%,3%,7%,4%,15,13–15 Feb 2024,2024-02-15
9–12 Feb,YouGov,WPI Strategy,GB,4014,22%,45%,9%,3%,7%,12%,2%,23,9–12 Feb 2024,2024-02-12
8–12 Feb,Deltapoll,,GB,1977,27%,45%,8%,3%,4%,10%,2%,18,8–12 Feb 2024,2024-02-12
8–12 Feb,Lord Ashcroft[d],,GB,5046,27%,43%,7%,3%,8%,10%,3%,16,8–12 Feb 2024,2024-02-12
24 Jan – 12 Feb,FindOutNow/Electoral Calculus (MRP),The Mirror,GB,18151,22%,42%,11%,4%,7%,10%,4%,20,24 Jan – 12 Feb 2024,2024-02-12
11 Feb,Redfield & Wilton,,GB,2000,21%,46%,11%,3%,5%,12%,2%,25,11 Feb 2024,2024-02-11
9–11 Feb,Savanta,,UK,2224,29%,41%,11%,3%,3%,8%,4%,12,9–11 Feb 2024,2024-02-11
7–11 Feb,More in Common,,GB,2050,29%,40%,11%,3%,6%,10%,1%,11,7–11 Feb 2024,2024-02-11
8–9 Feb,We Think,,GB,1171,26%,42%,11%,3%,6%,10%,2%,16,8–9 Feb 2024,2024-02-09
6–9 Feb,Opinium,The Observer,UK,2050,25%,43%,11%,2%,7%,10%,3%,18,6–9 Feb 2024,2024-02-09
7–8 Feb,Techne[permanent dead link‍],,UK,1639,24%,44%,10%,3%,6%,10%,3%,20,7–8 Feb 2024,2024-02-08
7–8 Feb,YouGov,The Times,GB,2029,21%,46%,9%,3%,7%,12%,1% Plaid Cymru on 0% Other on 1%,25,7–8 Feb 2024,2024-02-08
23 Jan – 7 Feb,Whitestone Insight,Lady McAlpine,GB,13534,20%,42%,10%,3%,8%,13%,3% Plaid Cymru on 1% Other on 2%,22,23 Jan – 7 Feb 2024,2024-02-07
3–5 Feb,Redfield & Wilton,,GB,5000,23%,44%,11%,3%,5%,12%,1%,21,3–5 Feb 2024,2024-02-05
2–5 Feb,Deltapoll,,GB,2004,27%,43%,10%,3%,5%,9%,3%,16,2–5 Feb 2024,2024-02-05
4 Feb,Redfield & Wilton,,GB,2000,24%,45%,9%,3%,4%,12%,2% Plaid Cymru on 0% Other on 2%,21,4 Feb 2024,2024-02-04
1–2 Feb,We Think,,GB,1283,23%,45%,9%,3%,9%,11%,2%,22,1–2 Feb 2024,2024-02-02
31 Jan – 1 Feb,Techne Archived 2 February 2024 at the Wayback Machine,,UK,1634,23%,45%,10%,3%,6%,10%,3%,22,31 Jan – 1 Feb 2024,2024-02-01
30–31 Jan,BMG,The i,GB,1505,29%,44%,11%,2%,6%,8%,1%,15,30–31 Jan 2024,2024-01-31
30–31 Jan,YouGov,The Times,GB,2008,23%,44%,9%,3%,6%,12%,3% Plaid Cymru on 1% Other on 2%,21,30–31 Jan 2024,2024-01-31
30–31 Jan,Survation,,UK,810,27%,44%,11%,4%,3%,7%,5%,17,30–31 Jan 2024,2024-01-31
26–31 Jan,More in Common,,GB,3113,29%,43%,10%,3%,6%,8%,1%,14,26–31 Jan 2024,2024-01-31
29 Jan,Redfield & Wilton,,GB,2000,22%,45%,11%,3%,6%,12%,1% Plaid Cymru on 0% Other on 1%,23,29 Jan 2024,2024-01-29
26–29 Jan,Deltapoll,,GB,2064,29%,43%,10%,2%,6%,9%,2% Plaid Cymru on 0% UKIP on 1%,14,26–29 Jan 2024,2024-01-29
26–28 Jan,Savanta,,UK,2279,27%,46%,10%,2%,3%,9%,4%,19,26–28 Jan 2024,2024-01-28
26 Jan,We Think,,GB,1264,23%,47%,9%,2%,6%,12%,2%,24,26 Jan 2024,2024-01-26
23–26 Jan,Opinium,The Observer,UK,2060,27%,42%,10%,3%,6%,10%,1%,15,23–26 Jan 2024,2024-01-26
25 Jan,PeoplePolling,GB News,GB,1648,20%,45%,10%,4%,9%,12%,1%,25,25 Jan 2024,2024-01-25
24–25 Jan,Techne,,UK,1641,24%,44%,10%,3%,7%,9%,3%,20,24–25 Jan 2024,2024-01-25
23–24 Jan,YouGov,The Times,GB,2008,20%,47%,8%,4%,6%,13%,2% Plaid Cymru on 1% Other on 1%,27,23–24 Jan 2024,2024-01-24
17–23 Jan,Ipsos,Evening Standard,GB,1003,27%,49%,7%,4%,7%,4%,1%,22,17–23 Jan 2024,2024-01-23
19–22 Jan,Deltapoll,,GB,2176,28%,45%,9%,3%,5%,8%,1% Plaid Cymru on 0% UKIP on 1%,17,19–22 Jan 2024,2024-01-22
21 Jan,Redfield & Wilton,,GB,2000,22%,45%,11%,2%,6%,12%,2% Plaid Cymru on 1% Other on 1%,23,21 Jan 2024,2024-01-21
19–21 Jan,Savanta,,UK,2017,29%,43%,10%,3%,4%,8%,4%,14,19–21 Jan 2024,2024-01-21
18–19 Jan,We Think,,GB,1163,23%,48%,9%,3%,5%,10%,2%,25,18–19 Jan 2024,2024-01-19
17–18 Jan,Techne,,UK,1640,25%,43%,11%,3%,6%,9%,3%,18,17–18 Jan 2024,2024-01-18
16–17 Jan,YouGov,The Times,GB,2092,20%,47%,8%,3%,7%,12%,2%,27,16–17 Jan 2024,2024-01-17
12–15 Jan,Deltapoll,,GB,2136,28%,44%,10%,3%,6%,7%,2% Plaid Cymru on 0% UKIP on 1% Other on 1%,16,12–15 Jan 2024,2024-01-15
11–15 Jan,Lord Ashcroft[d],,GB,5149,27%,44%,6%,3%,6%,10%,3% Plaid Cymru on 1% Other on 2%,17,11–15 Jan 2024,2024-01-15
14 Jan,Redfield & Wilton,,GB,2000,25%,44%,10%,3%,5%,11%,2%,19,14 Jan 2024,2024-01-14
12–14 Jan,Savanta,,UK,2148,27%,44%,11%,3%,4%,7%,4%,17,12–14 Jan 2024,2024-01-14
11–12 Jan,We Think,,GB,1161,23%,45%,11%,3%,5%,11%,2%,22,11–12 Jan 2024,2024-01-12
10–12 Jan,Opinium,The Observer,UK,2050,27%,41%,11%,4%,6%,10%,2%,14,10–12 Jan 2024,2024-01-12
10–11 Jan,Techne,,UK,1633,24%,44%,10%,3%,6%,10%,3%,20,10–11 Jan 2024,2024-01-11
10–11 Jan,YouGov,The Times,GB,2057,22%,45%,9%,3%,8%,10%,2%,23,10–11 Jan 2024,2024-01-11
9–11 Jan,More in Common,Times Radio,GB,2056,27%,42%,10%,3%,8%,9%,0%,15,9–11 Jan 2024,2024-01-11
7 Jan,Redfield & Wilton,,GB,2000,27%,43%,10%,3%,5%,11%,2%,16,7 Jan 2024,2024-01-07
5–7 Jan,Savanta,,UK,2268,26%,45%,10%,3%,5%,8%,4%,19,5–7 Jan 2024,2024-01-07
4–5 Jan,We Think,,GB,1226,25%,47%,9%,2%,5%,10%,2%,22,4–5 Jan 2024,2024-01-05
12 Dec – 4 Jan,YouGov (MRP)[c],Conservative Britain Alliance[10],GB,14110,26%,39.5%,12.5%,3%,7.5%,9%,2.5%,13.5,12 Dec – 4 Jan 2024,2024-01-04
2–3 Jan,YouGov,The Times,GB,2016,22%,46%,10%,3%,7%,9%,2%,24,2–3 Jan 2024,2024-01-03
Dates conducted,Pollster,Client,Area,Sample size,,,,,,,Others,Lead,Dates conducted 2023,
28–30 Dec,We Think,,GB,1181,26%,43%,11%,3%,6%,11%,2%,17,28–30 Dec 2023,2023-12-30
22–29 Dec,Deltapoll,Daily Mirror,GB,1642,28%,42%,12%,2%,6%,9%,2% Plaid Cymru on 0% UKIP on 2%,14,22–29 Dec 2023,2023-12-29
28 Dec,PeoplePolling,GB News,GB,1987,23%,45%,10%,4%,6%,10%,3% Plaid Cymru on 1%,22,28 Dec 2023,2023-12-28
21–22 Dec,We Think,,GB,1177,27%,41%,12%,3%,6%,9%,2% Plaid Cymru on 0%,14,21–22 Dec 2023,2023-12-22
20–21 Dec,Techne,,UK,1646,23%,43%,11%,3%,7%,10%,3%,20,20–21 Dec 2023,2023-12-21
19–20 Dec,YouGov,The Times,GB,2052,24%,43%,10%,3%,8%,11%,1%,19,19–20 Dec 2023,2023-12-20
15–18 Dec,Survation,,UK,1044,28%,45%,10%,2%,2%,8%,4%,17,15–18 Dec 2023,2023-12-18
17 Dec,Redfield & Wilton,,GB,2000,24%,42%,11%,4%,6%,10%,2%,18,17 Dec 2023,2023-12-17
15–17 Dec,Savanta,,UK,2286,27%,43%,10%,3%,3%,9%,5%,16,15–17 Dec 2023,2023-12-17
14–15 Dec,We Think,,GB,1065,25%,46%,10%,3%,5%,9%,2%,21,14–15 Dec 2023,2023-12-15
13–15 Dec,Opinium,The Observer,GB,1426,27%,40%,11%,3%,7%,9%,2%,13,13–15 Dec 2023,2023-12-15
13–14 Dec,Techne,,UK,1637,22%,44%,12%,3%,7%,9%,3%,22,13–14 Dec 2023,2023-12-14
12–14 Dec,More in Common,,GB,2041,28%,42%,11%,4%,6%,8%,2%,15[e],12–14 Dec 2023,2023-12-14
12–13 Dec,YouGov,The Times,GB,2018,22%,44%,10%,3%,7%,11%,2%,22,12–13 Dec 2023,2023-12-13
8–11 Dec,Deltapoll,,GB,1005,29%,40%,11%,3%,7%,7%,4%,11,8–11 Dec 2023,2023-12-11
10 Dec,Redfield & Wilton,,GB,2000,25%,43%,13%,2%,5%,11%,1%,18,10 Dec 2023,2023-12-10
8–10 Dec,Savanta,,UK,2079,26%,43%,10%,3%,4%,9%,4%,17,8–10 Dec 2023,2023-12-10
7–8 Dec,We Think,,GB,1201,25%,45%,11%,2%,5%,9%,2%,20,7–8 Dec 2023,2023-12-08
6–7 Dec,Techne,,UK,1642,22%,45%,12%,3%,7%,8%,3%,23,6–7 Dec 2023,2023-12-07
6–7 Dec,YouGov,The Times,GB,2054,22%,45%,10%,3%,7%,11%,2%,23,6–7 Dec 2023,2023-12-07
1–7 Dec,Ipsos,,GB,1006,24%,41%,13%,3%,9%,7%,3%,17,1–7 Dec 2023,2023-12-07
1–4 Dec,Deltapoll,,GB,1000,27%,42%,13%,3%,6%,6%,4%,15,1–4 Dec 2023,2023-12-04
30 Nov – 4 Dec,More in Common Archived 7 December 2023 at the Wayback Machine,,GB,2030,29%,41%,12%,3%,6%,8%,2%,12,30 Nov – 4 Dec 2023,2023-12-04
3 Dec,Redfield & Wilton,,GB,2000,26%,42%,12%,3%,6%,10%,0%,16,3 Dec 2023,2023-12-03
1–3 Dec,Savanta,,UK,2086,28%,43%,11%,3%,3%,7%,4%,15,1–3 Dec 2023,2023-12-03
30 Nov – 1 Dec,We Think,,GB,1123,28%,44%,9%,3%,6%,8%,3%,16,30 Nov – 1 Dec 2023,2023-12-01
29–30 Nov,Techne,,UK,1629,23%,45%,11%,3%,7%,8%,3%,22,29–30 Nov 2023,2023-11-30
29–30 Nov,YouGov,The Times,GB,2055,22%,45%,9%,4%,7%,10%,1%,23,29–30 Nov 2023,2023-11-30
28–30 Nov,BMG,The i,GB,1502,27%,43%,10%,2%,5%,11%,2%,16,28–30 Nov 2023,2023-11-30
24–27 Nov,More in Common,Times Radio,GB,2022,28%,44%,10%,3%,5%,8%,2%,16,24–27 Nov 2023,2023-11-27
24–27 Nov,Deltapoll,,GB,1996,28%,42%,11%,3%,6%,7%,2%,14,24–27 Nov 2023,2023-11-27
26 Nov,Redfield & Wilton,,GB,2000,25%,45%,11%,3%,6%,10%,1%,20,26 Nov 2023,2023-11-26
