Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
23–26 Jan,TNS-BMRB/BBC Radio 4 Woman's Hour Archived 3 February 2015 at the Wayback Machine,975,28%,39%,4%,14%,8%,7%,11%,23–26 Jan 2015,2015-01-26
25 Jan,Survation/Daily Mirror,1014,31%,30%,7%,23%,3%,6%,1%,25 Jan 2015,2015-01-25
23–25 Jan,ComRes/The Independent[permanent dead link‍],1001,31%,30%,8%,17%,7%,7%,1%,23–25 Jan 2015,2015-01-25
23–25 Jan,Populus,2039,34%,35%,9%,13%,6%,3%,1%,23–25 Jan 2015,2015-01-25
22–25 Jan,Lord Ashcroft,1001,32%,32%,6%,15%,9%,6%,Tie,22–25 Jan 2015,2015-01-25
22–23 Jan,YouGov/Sunday Times,1578,32%,32%,7%,15%,7%,6%,Tie,22–23 Jan 2015,2015-01-23
21–22 Jan,Populus,2049,32%,36%,9%,13%,6%,4%,4%,21–22 Jan 2015,2015-01-22
21–22 Jan,YouGov/The Sun,1640,31%,33%,7%,17%,8%,4%,2%,21–22 Jan 2015,2015-01-22
20–21 Jan,YouGov/The Sun,1645,33%,34%,6%,14%,8%,5%,1%,20–21 Jan 2015,2015-01-21
19–20 Jan,YouGov/The Sun,1570,32%,30%,8%,15%,10%,5%,2%,19–20 Jan 2015,2015-01-20
18–19 Jan,YouGov/The Sun,1747,32%,32%,8%,15%,7%,6%,Tie,18–19 Jan 2015,2015-01-19
16–19 Jan,ICM/The Guardian,1002,30%,33%,11%,11%,9%,7%,3%,16–19 Jan 2015,2015-01-19
15–19 Jan,TNS,1188,31%,31%,8%,16%,7%,7%,Tie,15–19 Jan 2015,2015-01-19
16–18 Jan,Lord Ashcroft,1004,29%,28%,9%,15%,11%,8%,1%,16–18 Jan 2015,2015-01-18
16–18 Jan,Populus,2036,35%,36%,8%,13%,4%,4%,1%,16–18 Jan 2015,2015-01-18
15–16 Jan,YouGov/Sunday Times,1647,31%,32%,7%,18%,7%,4%,1%,15–16 Jan 2015,2015-01-16
14–15 Jan,YouGov/Sun on Sunday,1763,31%,33%,7%,16%,7%,6%,2%,14–15 Jan 2015,2015-01-15
14–15 Jan,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link‍]",2023,33%,34%,7%,18%,3%,5%,1%,14–15 Jan 2015,2015-01-15
14–15 Jan,Populus,2070,32%,35%,9%,14%,6%,4%,3%,14–15 Jan 2015,2015-01-15
14–15 Jan,YouGov/The Sun,1660,32%,32%,6%,16%,8%,6%,Tie,14–15 Jan 2015,2015-01-15
13–15 Jan,Opinium/The Observer,1966,28%,33%,7%,20%,6%,6%,5%,13–15 Jan 2015,2015-01-15
13–14 Jan,YouGov/The Sun,1834,32%,34%,6%,15%,7%,6%,2%,13–14 Jan 2015,2015-01-14
12–13 Jan,YouGov/The Sun,1782,32%,33%,7%,14%,7%,6%,1%,12–13 Jan 2015,2015-01-13
11–13 Jan,Ipsos MORI/Evening Standard,1010,33%,34%,8%,11%,8%,6%,1%,11–13 Jan 2015,2015-01-13
11–12 Jan,YouGov/The Sun,1649,32%,33%,6%,17%,6%,6%,1%,11–12 Jan 2015,2015-01-12
9–11 Jan,Lord Ashcroft,1002,34%,28%,8%,16%,8%,6%,6%,9–11 Jan 2015,2015-01-11
9–11 Jan,Populus,2056,32%,37%,10%,13%,4%,4%,5%,9–11 Jan 2015,2015-01-11
8–9 Jan,YouGov/Sunday Times,1684,32%,32%,7%,18%,6%,5%,Tie,8–9 Jan 2015,2015-01-09
7–8 Jan,Populus,2046,33%,34%,8%,14%,6%,5%,1%,7–8 Jan 2015,2015-01-08
7–8 Jan,YouGov/The Sun,1753,33%,33%,8%,13%,7%,6%,Tie,7–8 Jan 2015,2015-01-08
6–8 Jan,TNS,1201,28%,35%,6%,18%,5%,8%,7%,6–8 Jan 2015,2015-01-08
6–7 Jan,YouGov/The Sun,1707,32%,33%,7%,15%,7%,6%,1%,6–7 Jan 2015,2015-01-07
5–6 Jan,YouGov/The Sun,1769,33%,33%,7%,13%,8%,5%,Tie,5–6 Jan 2015,2015-01-06
4–5 Jan,YouGov/The Sun,1728,31%,34%,7%,14%,8%,6%,3%,4–5 Jan 2015,2015-01-05
2–4 Jan,Populus,2046,34%,36%,9%,12%,5%,5%,2%,2–4 Jan 2015,2015-01-04
30 Dec–2 Jan,Opinium/The Observer,1970,32%,33%,8%,17%,4%,7%,1%,30 Dec–2 Jan 2015,2015-01-02
Date(s) conducted,Polling organisation/client,Sample size,,,,,,Others,Lead,Date(s) conducted 2014,
19–23 Dec,Opinium/The Observer[n 4],2003,29%,33%,6%,19%,6%,7%,4%,19–23 Dec 2014,2014-12-23
21–22 Dec,YouGov/The Sun,1642,32%,36%,6%,16%,5%,5%,4%,21–22 Dec 2014,2014-12-22
19–21 Dec,Populus,2051,35%,35%,9%,12%,4%,5%,Tie,19–21 Dec 2014,2014-12-21
18–19 Dec,Survation/Daily Mirror,1009,30%,33%,10%,21%,3%,3%,3%,18–19 Dec 2014,2014-12-19
18–19 Dec,YouGov/Sunday Times,2109,32%,34%,6%,15%,8%,5%,2%,18–19 Dec 2014,2014-12-19
16–19 Dec,Opinium/The Observer,1427,29%,36%,6%,16%,5%,8%,7%,16–19 Dec 2014,2014-12-19
17–18 Dec,Populus,2069,34%,35%,9%,13%,4%,4%,1%,17–18 Dec 2014,2014-12-18
17–18 Dec,YouGov/The Sun,1981,30%,35%,6%,16%,8%,4%,5%,17–18 Dec 2014,2014-12-18
16–17 Dec,YouGov/The Sun,2087,33%,33%,8%,14%,7%,5%,Tie,16–17 Dec 2014,2014-12-17
15–16 Dec,YouGov/The Sun,2021,33%,34%,6%,16%,6%,5%,1%,15–16 Dec 2014,2014-12-16
12–16 Dec,ICM/The Guardian,1001,28%,33%,14%,14%,5%,6%,5%,12–16 Dec 2014,2014-12-16
14–15 Dec,YouGov/The Sun,1648,32%,34%,6%,14%,8%,6%,2%,14–15 Dec 2014,2014-12-15
13–15 Dec,Ipsos Mori/Evening Standard,1012,32%,29%,9%,13%,9%,8%,3%,13–15 Dec 2014,2014-12-15
11–15 Dec,TNS,1180,28%,35%,5%,19%,7%,6%,7%,11–15 Dec 2014,2014-12-15
12–14 Dec,ComRes/The Independent[permanent dead link‍],1002,29%,32%,12%,16%,5%,6%,3%,12–14 Dec 2014,2014-12-14
12–14 Dec,Populus,2074,34%,36%,10%,12%,5%,4%,2%,12–14 Dec 2014,2014-12-14
11–12 Dec,YouGov/Sunday Times,1941,32%,32%,7%,16%,7%,5%,Tie,11–12 Dec 2014,2014-12-12
10–12 Dec,ComRes/Sunday Mirror/Independent on Sunday[permanent dead link‍],2014,33%,34%,8%,18%,2%,5%,1%,10–12 Dec 2014,2014-12-12
10–11 Dec,Populus,1140,34%,35%,9%,14%,4%,3%,1%,10–11 Dec 2014,2014-12-11
10–11 Dec,YouGov/The Sun,2088,32%,34%,7%,14%,7%,6%,2%,10–11 Dec 2014,2014-12-11
9–10 Dec,YouGov/The Sun,1983,33%,33%,6%,15%,7%,5%,Tie,9–10 Dec 2014,2014-12-10
8–9 Dec,YouGov/The Sun,1959,32%,32%,8%,15%,7%,5%,Tie,8–9 Dec 2014,2014-12-09
7–8 Dec,YouGov/The Sun,1925,34%,33%,6%,15%,6%,6%,1%,7–8 Dec 2014,2014-12-08
5–7 Dec,Lord Ashcroft,1001,30%,31%,8%,19%,5%,7%,1%,5–7 Dec 2014,2014-12-07
5–7 Dec,Populus,1323,33%,36%,8%,15%,4%,4%,3%,5–7 Dec 2014,2014-12-07
4–5 Dec,YouGov/SundayTimes,1838,32%,32%,6%,17%,7%,7%,Tie,4–5 Dec 2014,2014-12-05
3–4 Dec,Opinium/The Observer,1940,29%,34%,6%,19%,6%,6%,5%,3–4 Dec 2014,2014-12-04
3–4 Dec,Populus,1271,33%,35%,9%,14%,4%,5%,2%,3–4 Dec 2014,2014-12-04
3–4 Dec,YouGov/The Sun,1663,31%,32%,7%,15%,8%,6%,1%,3–4 Dec 2014,2014-12-04
2–3 Dec,YouGov/The Sun,1925,32%,31%,6%,17%,7%,6%,1%,2–3 Dec 2014,2014-12-03
1–2 Dec,YouGov/The Sun,1912,32%,33%,7%,16%,7%,5%,1%,1–2 Dec 2014,2014-12-02
30 Nov–1 Dec,YouGov/The Sun,1763,32%,32%,8%,15%,6%,6%,Tie,30 Nov–1 Dec 2014,2014-12-01
28–30 Nov,ComRes/The Independent[permanent dead link‍],1005,28%,31%,9%,18%,7%,7%,3%,28–30 Nov 2014,2014-11-30
28–30 Nov,Lord Ashcroft,1003,30%,32%,7%,16%,6%,8%,2%,28–30 Nov 2014,2014-11-30
28–30 Nov,Populus,2053,32%,35%,9%,14%,5%,5%,3%,28–30 Nov 2014,2014-11-30
27–28 Nov,YouGov/Sunday Times,2018,32%,34%,7%,15%,6%,6%,2%,27–28 Nov 2014,2014-11-28
26–27 Nov,Populus,2048,32%,37%,9%,14%,4%,5%,5%,26–27 Nov 2014,2014-11-27
26–27 Nov,YouGov/The Sun,1970,31%,31%,8%,17%,6%,6%,Tie,26–27 Nov 2014,2014-11-27
25–27 Nov,TNS,1194,30%,31%,6%,19%,6%,8%,1%,25–27 Nov 2014,2014-11-27
25–26 Nov,YouGov/The Sun,2067,33%,32%,6%,16%,7%,5%,1%,25–26 Nov 2014,2014-11-26
24–25 Nov,YouGov/The Sun,1890,32%,33%,7%,16%,6%,6%,1%,24–25 Nov 2014,2014-11-25
23–24 Nov,YouGov/The Sun,1641,30%,34%,6%,18%,6%,6%,4%,23–24 Nov 2014,2014-11-24
14–24 Nov,Lord Ashcroft[n 5],20011,30%,33%,7%,19%,6%,5%,3%,14–24 Nov 2014,2014-11-24
21–23 Nov,Lord Ashcroft,1004,27%,32%,7%,18%,7%,8%,5%,21–23 Nov 2014,2014-11-23
21–23 Nov,Populus,2049,31%,36%,9%,15%,5%,4%,5%,21–23 Nov 2014,2014-11-23
20–21 Nov,YouGov/Sunday Times,1970,33%,33%,7%,16%,6%,5%,Tie,20–21 Nov 2014,2014-11-21
19–21 Nov,YouGov/The Sun on Sunday,2314,33%,34%,8%,15%,5%,4%,1%,19–21 Nov 2014,2014-11-21
20 Nov,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,2014 Rochester and Strood by-election,20 Nov 2014,2014-11-20
19–20 Nov,Populus,2013,33%,36%,9%,14%,4%,4%,3%,19–20 Nov 2014,2014-11-20
19–20 Nov,YouGov/The Sun,1995,34%,33%,7%,15%,6%,5%,1%,19–20 Nov 2014,2014-11-20
18–20 Nov,Opinium/The Observer,1948,30%,33%,7%,19%,4%,7%,3%,18–20 Nov 2014,2014-11-20
18–19 Nov,YouGov/The Sun,1906,34%,33%,7%,14%,6%,6%,1%,18–19 Nov 2014,2014-11-19
17–18 Nov,YouGov/The Sun,1975,32%,34%,7%,15%,6%,6%,2%,17–18 Nov 2014,2014-11-18
16–17 Nov,YouGov/The Sun,1589,33%,32%,7%,15%,8%,6%,1%,16–17 Nov 2014,2014-11-17
14–17 Nov,Opinium Archived 20 March 2015 at the Wayback Machine[14],1947,34%,33%,5%,18%,5%,6%,1%,14–17 Nov 2014,2014-11-17
14–16 Nov,Lord Ashcroft,1004,29%,30%,9%,16%,7%,9%,1%,14–16 Nov 2014,2014-11-16
14–16 Nov,Populus,2054,35%,36%,7%,11%,5%,6%,1%,14–16 Nov 2014,2014-11-16
13–14 Nov,YouGov/Sunday Times,1975,31%,33%,7%,18%,5%,6%,2%,13–14 Nov 2014,2014-11-14
12–14 Nov,"ComRes/Independent on Sunday, Sunday Mirror[permanent dead link‍]",2000,30%,34%,8%,19%,3%,6%,4%,12–14 Nov 2014,2014-11-14
12–13 Nov,Populus,2052,33%,35%,9%,13%,4%,5%,2%,12–13 Nov 2014,2014-11-13
12–13 Nov,YouGov/The Sun,2003,33%,32%,8%,15%,6%,6%,1%,12–13 Nov 2014,2014-11-13
11–12 Nov,YouGov/The Sun,1972,32%,35%,7%,15%,6%,4%,3%,11–12 Nov 2014,2014-11-12
10–11 Nov,YouGov/The Sun,2143,33%,34%,7%,15%,6%,6%,1%,10–11 Nov 2014,2014-11-11
9–10 Nov,YouGov/The Sun,1656,32%,33%,6%,17%,6%,6%,1%,9–10 Nov 2014,2014-11-10
8–10 Nov,Ipsos MORI/Evening Standard,1011,32%,29%,9%,14%,7%,9%,3%,8–10 Nov 2014,2014-11-10
7–9 Nov,ICM/The Guardian,1002,31%,32%,11%,14%,6%,6%,1%,7–9 Nov 2014,2014-11-09
7–9 Nov,Lord Ashcroft,1005,30%,29%,10%,16%,7%,8%,1%,7–9 Nov 2014,2014-11-09
7–9 Nov,Populus,2047,34%,36%,8%,13%,4%,5%,2%,7–9 Nov 2014,2014-11-09
7 Nov,Survation/Mail on Sunday,1020,29%,34%,6%,23%,4%,4%,5%,7 Nov 2014,2014-11-07
6–7 Nov,YouGov/Sunday Times,2022,33%,33%,7%,16%,6%,5%,Tie,6–7 Nov 2014,2014-11-07
4–7 Nov,Opinium/The Observer,1980,29%,32%,9%,19%,4%,7%,3%,4–7 Nov 2014,2014-11-07
5–6 Nov,Populus,2011,33%,35%,9%,14%,4%,4%,2%,5–6 Nov 2014,2014-11-06
5–6 Nov,YouGov/The Sun,2041,32%,33%,8%,15%,7%,5%,1%,5–6 Nov 2014,2014-11-06
4–5 Nov,YouGov/The Sun,2047,32%,33%,7%,17%,7%,5%,1%,4–5 Nov 2014,2014-11-05
3–4 Nov,YouGov/The Sun,1988,32%,34%,7%,15%,6%,6%,2%,3–4 Nov 2014,2014-11-04
2–3 Nov,YouGov/The Sun,1652,33%,34%,8%,15%,5%,5%,1%,2–3 Nov 2014,2014-11-03
31 Oct–2 Nov,Lord Ashcroft,1002,30%,29%,10%,16%,6%,9%,1%,31 Oct–2 Nov 2014,2014-11-02
31 Oct–2 Nov,Populus,2019,34%,35%,9%,13%,4%,4%,1%,31 Oct–2 Nov 2014,2014-11-02
31 Oct–1 Nov,Survation/The Mirror,2012,27%,31%,9%,24%,3%,6%,4%,31 Oct–1 Nov 2014,2014-11-01
30–31 Oct,YouGov/Sunday Times,1808,31%,32%,7%,18%,6%,6%,1%,30–31 Oct 2014,2014-10-31
29–30 Oct,Populus,2035,34%,34%,8%,15%,5%,3%,Tie,29–30 Oct 2014,2014-10-30
29–30 Oct,YouGov/The Sun,1883,33%,32%,7%,15%,7%,6%,1%,29–30 Oct 2014,2014-10-30
28–29 Oct,YouGov/The Sun,1972,31%,34%,6%,17%,7%,5%,3%,28–29 Oct 2014,2014-10-29
27–28 Oct,YouGov/The Sun,2052,32%,33%,8%,17%,5%,5%,1%,27–28 Oct 2014,2014-10-28
26–27 Oct,YouGov/The Sun,1629,32%,32%,8%,18%,6%,4%,Tie,26–27 Oct 2014,2014-10-27
24–26 Oct,ComRes/The Independent[permanent dead link‍],1002,30%,30%,9%,19%,4%,7%,Tie,24–26 Oct 2014,2014-10-26
24–26 Oct,Lord Ashcroft,1003,31%,31%,7%,18%,5%,7%,Tie,24–26 Oct 2014,2014-10-26
24–26 Oct,Populus,2004,34%,36%,8%,13%,3%,4%,2%,24–26 Oct 2014,2014-10-26
23–24 Oct,YouGov/Sunday Times,2069,33%,33%,7%,16%,6%,6%,Tie,23–24 Oct 2014,2014-10-24
21–24 Oct,Opinium/The Observer,1972,33%,33%,6%,18%,4%,5%,Tie,21–24 Oct 2014,2014-10-24
22–23 Oct,Populus,2029,33%,35%,9%,15%,3%,4%,2%,22–23 Oct 2014,2014-10-23
22–23 Oct,YouGov/The Sun,2020,34%,34%,6%,15%,6%,5%,Tie,22–23 Oct 2014,2014-10-23
21–22 Oct,YouGov/The Sun,2052,31%,33%,7%,17%,6%,6%,2%,21–22 Oct 2014,2014-10-22
20–21 Oct,YouGov/The Sun,2103,32%,33%,8%,16%,5%,5%,1%,20–21 Oct 2014,2014-10-21
19–20 Oct,YouGov/The Sun,1727,31%,33%,7%,15%,6%,8%,2%,19–20 Oct 2014,2014-10-20
17–19 Oct,Lord Ashcroft,1000,28%,31%,7%,18%,8%,8%,3%,17–19 Oct 2014,2014-10-19
17–19 Oct,Populus,2058,34%,36%,9%,13%,3%,5%,2%,17–19 Oct 2014,2014-10-19
16–17 Oct,YouGov/Sunday Times,1966,32%,35%,7%,16%,5%,6%,3%,16–17 Oct 2014,2014-10-17
15–16 Oct,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link‍]",996,29%,31%,7%,24%,5%,5%,2%,15–16 Oct 2014,2014-10-16
15–16 Oct,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link‍]",1004,31%,34%,7%,19%,4%,5%,3%,15–16 Oct 2014,2014-10-16
15–16 Oct,Populus,2031,33%,35%,10%,14%,4%,3%,2%,15–16 Oct 2014,2014-10-16
15–16 Oct,YouGov/The Sun,2045,31%,32%,8%,18%,7%,4%,1%,15–16 Oct 2014,2014-10-16
14–15 Oct,YouGov/The Sun,2133,31%,33%,7%,19%,5%,5%,2%,14–15 Oct 2014,2014-10-15
13–14 Oct,YouGov/The Sun,2144,30%,34%,8%,18%,5%,5%,4%,13–14 Oct 2014,2014-10-14
11–14 Oct,Ipsos MORI/Evening Standard,1002,30%,33%,8%,16%,5%,8%,3%,11–14 Oct 2014,2014-10-14
12–13 Oct,YouGov/The Sun,1782,31%,34%,7%,17%,4%,7%,3%,12–13 Oct 2014,2014-10-13
10–12 Oct,Lord Ashcroft,1001,28%,32%,8%,19%,5%,8%,4%,10–12 Oct 2014,2014-10-12
10–12 Oct,ICM/The Guardian[15],1001,31%,35%,11%,14%,4%,6%,4%,10–12 Oct 2014,2014-10-12
10–12 Oct,Populus,2067,35%,36%,9%,13%,3%,4%,1%,10–12 Oct 2014,2014-10-12
10 Oct,Survation/Mail on Sunday,1003,31%,31%,7%,25%,2%,4%,Tie,10 Oct 2014,2014-10-10
9–10 Oct,YouGov/Sunday Times,2167,32%,34%,9%,16%,5%,5%,2%,9–10 Oct 2014,2014-10-10
9 Oct,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,2014 Clacton by-election,9 Oct 2014,2014-10-09
9 Oct,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,2014 Heywood and Middleton by-election,9 Oct 2014,2014-10-09
8–9 Oct,Lord Ashcroft,5059,31%,34%,8%,18%,4%,5%,3%,8–9 Oct 2014,2014-10-09
8–9 Oct,Populus,2055,34%,35%,9%,13%,4%,5%,1%,8–9 Oct 2014,2014-10-09
8–9 Oct,YouGov/The Sun,2049,30%,35%,9%,15%,5%,5%,5%,8–9 Oct 2014,2014-10-09
7–9 Oct,Opinium/The Observer,1968,28%,35%,9%,17%,4%,7%,7%,7–9 Oct 2014,2014-10-09
7–8 Oct,YouGov/The Sun,1862,33%,34%,7%,14%,6%,6%,1%,7–8 Oct 2014,2014-10-08
6–7 Oct,YouGov/The Sun,2155,32%,34%,8%,15%,5%,6%,2%,6–7 Oct 2014,2014-10-07
5–6 Oct,YouGov/The Sun,1739,35%,33%,8%,13%,4%,7%,2%,5–6 Oct 2014,2014-10-06
3–5 Oct,Lord Ashcroft,1002,32%,30%,7%,17%,7%,6%,2%,3–5 Oct 2014,2014-10-05
3–5 Oct,Populus,2037,31%,37%,8%,15%,3%,4%,6%,3–5 Oct 2014,2014-10-05
2–3 Oct,YouGov/Sunday Times,2130,36%,34%,7%,13%,5%,5%,2%,2–3 Oct 2014,2014-10-03
1–2 Oct,Populus,2014,33%,38%,8%,13%,3%,4%,5%,1–2 Oct 2014,2014-10-02
1–2 Oct,YouGov/The Sun,2133,35%,34%,6%,14%,5%,6%,1%,1–2 Oct 2014,2014-10-02
30 Sep–1 Oct,YouGov/The Sun,2068,31%,38%,7%,15%,5%,4%,7%,30 Sep–1 Oct 2014,2014-10-01
29–30 Sep,YouGov/The Sun,2106,31%,36%,7%,15%,5%,6%,5%,29–30 Sep 2014,2014-09-30
28–29 Sep,YouGov/The Sun,1715,31%,36%,7%,16%,4%,6%,5%,28–29 Sep 2014,2014-09-29
26–28 Sep,ComRes/Independent,1007,29%,35%,10%,15%,4%,7%,6%,26–28 Sep 2014,2014-09-28
26–28 Sep,Lord Ashcroft,1000,32%,32%,8%,17%,4%,8%,Tie,26–28 Sep 2014,2014-09-28
26–28 Sep,Populus,2024,34%,36%,7%,14%,5%,3%,2%,26–28 Sep 2014,2014-09-28
25–26 Sep,YouGov/Sunday Times,1992,31%,36%,6%,15%,6%,6%,5%,25–26 Sep 2014,2014-09-26
24–26 Sep,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link‍]",2003,29%,35%,7%,19%,4%,6%,6%,24–26 Sep 2014,2014-09-26
23–26 Sep,Opinium/The Observer,1984,32%,34%,7%,17%,4%,6%,2%,23–26 Sep 2014,2014-09-26
24–25 Sep,Populus,2034,33%,37%,9%,13%,3%,4%,4%,24–25 Sep 2014,2014-09-25
24–25 Sep,YouGov/The Sun,1972,31%,37%,7%,13%,5%,7%,6%,24–25 Sep 2014,2014-09-25
23–24 Sep,YouGov/The Sun,2117,33%,37%,7%,13%,5%,5%,4%,23–24 Sep 2014,2014-09-24
22–23 Sep,YouGov/The Sun,2141,31%,37%,7%,15%,5%,5%,6%,22–23 Sep 2014,2014-09-23
21–22 Sep,YouGov/The Sun,1671,33%,35%,7%,14%,5%,6%,2%,21–22 Sep 2014,2014-09-22
19–21 Sep,Lord Ashcroft,1004,27%,33%,9%,17%,6%,8%,6%,19–21 Sep 2014,2014-09-21
19–21 Sep,Populus,2048,33%,37%,9%,12%,4%,4%,4%,19–21 Sep 2014,2014-09-21
19 Sep,"2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins","2014 Scottish independence referendum: The ""No"" campaign wins",19 Sep 2014,2014-09-19
18–19 Sep,YouGov/Sunday Times,2126,31%,36%,7%,16%,5%,5%,5%,18–19 Sep 2014,2014-09-19
17–18 Sep,Populus,2268,32%,36%,9%,15%,4%,5%,4%,17–18 Sep 2014,2014-09-18
17–18 Sep,YouGov/The Sun,2072,33%,35%,8%,14%,5%,5%,2%,17–18 Sep 2014,2014-09-18
16–17 Sep,YouGov/The Sun,2029,33%,36%,8%,13%,5%,5%,3%,16–17 Sep 2014,2014-09-17
12–17 Sep,Lord Ashcroft,8053,30%,35%,7%,19%,5%,6%,5%,12–17 Sep 2014,2014-09-17
15–16 Sep,YouGov/The Sun,1977,34%,37%,7%,12%,6%,4%,3%,15–16 Sep 2014,2014-09-16
12–16 Sep,Survation/Bright Blue,1052,29%,34%,11%,18%,4%,4%,5%,12–16 Sep 2014,2014-09-16
14–15 Sep,YouGov/The Sun,1703,31%,35%,7%,15%,6%,5%,4%,14–15 Sep 2014,2014-09-15
12–14 Sep,ICM/The Guardian,1002,33%,35%,10%,9%,7%,6%,2%,12–14 Sep 2014,2014-09-14
12–14 Sep,Lord Ashcroft,1004,33%,33%,9%,14%,6%,6%,Tie,12–14 Sep 2014,2014-09-14
12–14 Sep,Populus,2052,34%,35%,9%,13%,3%,5%,1%,12–14 Sep 2014,2014-09-14
12 Sep,Survation/Mail on Sunday,1090,31%,35%,8%,19%,3%,4%,4%,12 Sep 2014,2014-09-12
11–12 Sep,YouGov/Sunday Times,1900,32%,35%,7%,15%,6%,6%,3%,11–12 Sep 2014,2014-09-12
10–11 Sep,Populus,2010,33%,37%,9%,13%,2%,4%,4%,10–11 Sep 2014,2014-09-11
10–11 Sep,YouGov/TheSun,2068,31%,35%,7%,16%,5%,6%,4%,10–11 Sep 2014,2014-09-11
9–11 Sep,Opinium/The Observer,1960,29%,37%,7%,19%,4%,5%,8%,9–11 Sep 2014,2014-09-11
9–10 Sep,YouGov/The Sun,2122,32%,38%,6%,14%,5%,5%,6%,9–10 Sep 2014,2014-09-10
8–9 Sep,YouGov/TheSun,2099,30%,36%,8%,16%,5%,5%,6%,8–9 Sep 2014,2014-09-09
6–9 Sep,Ipsos MORI,1010,34%,33%,7%,15%,6%,5%,1%,6–9 Sep 2014,2014-09-09
7–8 Sep,YouGov/The Sun,1724,31%,36%,8%,16%,5%,4%,5%,7–8 Sep 2014,2014-09-08
5–7 Sep,Lord Ashcroft,1001,28%,35%,8%,18%,6%,5%,7%,5–7 Sep 2014,2014-09-07
5–7 Sep,Populus,2058,34%,36%,9%,12%,4%,6%,2%,5–7 Sep 2014,2014-09-07
4–5 Sep,YouGov/Sunday Times,1961,33%,35%,7%,15%,4%,5%,2%,4–5 Sep 2014,2014-09-05
3–4 Sep,Populus,2026,32%,38%,8%,14%,4%,4%,6%,3–4 Sep 2014,2014-09-04
3–4 Sep,YouGov/The Sun,2043,32%,36%,7%,16%,5%,4%,4%,3–4 Sep 2014,2014-09-04
2–3 Sep,YouGov/The Sun,2103,33%,36%,7%,14%,5%,5%,3%,2–3 Sep 2014,2014-09-03
1–2 Sep,YouGov/The Sun,2068,32%,35%,8%,15%,5%,4%,3%,1–2 Sep 2014,2014-09-02
31 Aug–1 Sep,YouGov/The Sun,1704,34%,35%,7%,14%,5%,6%,1%,31 Aug–1 Sep 2014,2014-09-01
29–31 Aug,ComRes/Independent[permanent dead link‍],1001,28%,35%,9%,17%,6%,5%,7%,29–31 Aug 2014,2014-08-31
29–31 Aug,Populus,2010,32%,36%,9%,15%,3%,5%,4%,29–31 Aug 2014,2014-08-31
28–29 Aug,YouGov/Sunday Times,2010,32%,36%,7%,16%,4%,4%,4%,28–29 Aug 2014,2014-08-29
26–29 Aug,Opinium/The Observer,1974,30%,36%,7%,16%,4%,7%,6%,26–29 Aug 2014,2014-08-29
27–28 Aug,Populus,2006,35%,34%,8%,13%,5%,4%,1%,27–28 Aug 2014,2014-08-28
27–28 Aug,YouGov/The Sun,2046,33%,36%,7%,13%,5%,6%,3%,27–28 Aug 2014,2014-08-28
26–27 Aug,YouGov/The Sun,2129,34%,35%,7%,14%,6%,5%,1%,26–27 Aug 2014,2014-08-27
25–26 Aug,YouGov/The Sun,2021,33%,37%,8%,13%,5%,5%,4%,25–26 Aug 2014,2014-08-26
22–25 Aug,Populus,2062,32%,38%,8%,15%,3%,4%,6%,22–25 Aug 2014,2014-08-25
21–22 Aug,YouGov/Sunday Times,1866,34%,36%,8%,14%,5%,3%,2%,21–22 Aug 2014,2014-08-22
20–22 Aug,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link‍]",2058,32%,34%,8%,18%,3%,5%,2%,20–22 Aug 2014,2014-08-22
20–21 Aug,Populus,2065,33%,39%,9%,11%,3%,4%,6%,20–21 Aug 2014,2014-08-21
20–21 Aug,YouGov/The Sun,2028,33%,38%,8%,12%,5%,4%,5%,20–21 Aug 2014,2014-08-21
19–20 Aug,YouGov/The Sun,2070,34%,38%,9%,11%,4%,4%,4%,19–20 Aug 2014,2014-08-20
18–19 Aug,YouGov/The Sun,2036,36%,37%,9%,12%,3%,3%,1%,18–19 Aug 2014,2014-08-19
